"Cluster"	"myCluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"MEG"	"MEG"	"mmu04932"	"Non-alcoholic fatty liver disease"	"4/18"	"156/8935"	0.000226057016624243	0.0252383603133908	0.0199817877424957	"12864/67530/16476/66594"	4
"MEG"	"MEG"	"mmu05014"	"Amyotrophic lateral sclerosis"	"5/18"	"369/8935"	0.000641524802604819	0.0252383603133908	0.0199817877424957	"22154/12864/67530/12043/66594"	5
"MEG"	"MEG"	"mmu04260"	"Cardiac muscle contraction"	"3/18"	"87/8935"	0.000654641943769151	0.0252383603133908	0.0199817877424957	"12864/67530/66594"	3
"MEG"	"MEG"	"mmu05208"	"Chemical carcinogenesis - reactive oxygen species"	"4/18"	"222/8935"	0.000862849925244131	0.0252383603133908	0.0199817877424957	"12864/67530/16476/66594"	4
"MEG"	"MEG"	"mmu05012"	"Parkinson disease"	"4/18"	"264/8935"	0.00164333840826494	0.028167772569087	0.0223010705000419	"22154/12864/67530/66594"	4
"MEG"	"MEG"	"mmu04722"	"Neurotrophin signaling pathway"	"3/18"	"121/8935"	0.00170398227993366	0.028167772569087	0.0223010705000419	"11857/12043/16476"	3
"MEG"	"MEG"	"mmu05020"	"Prion disease"	"4/18"	"268/8935"	0.00173699096145396	0.028167772569087	0.0223010705000419	"22154/12864/67530/66594"	4
"MEG"	"MEG"	"mmu05022"	"Pathways of neurodegeneration - multiple diseases"	"5/18"	"471/8935"	0.00192600154318543	0.028167772569087	0.0223010705000419	"22154/12864/67530/12043/66594"	5
"MEG"	"MEG"	"mmu00190"	"Oxidative phosphorylation"	"3/18"	"135/8935"	0.00233118289430808	0.0303053776260051	0.0239934613683171	"12864/67530/66594"	3
"MEG"	"MEG"	"mmu05016"	"Huntington disease"	"4/18"	"302/8935"	0.00268945755450255	0.0314666533876799	0.02491286997855	"22154/12864/67530/66594"	4
"MEG"	"MEG"	"mmu05010"	"Alzheimer disease"	"4/18"	"383/8935"	0.00630340406114018	0.0670452977412183	0.0530812973569699	"22154/12864/67530/66594"	4
"MEG"	"MEG"	"mmu05415"	"Diabetic cardiomyopathy"	"3/18"	"211/8935"	0.0081531478213909	0.0794931912585612	0.0629365796738946	"12864/67530/66594"	3
"MEG"	"MEG"	"mmu04714"	"Thermogenesis"	"3/18"	"231/8935"	0.0104449099625415	0.08473351263286	0.0670854620934924	"12864/67530/66594"	3
"MEG"	"MEG"	"mmu05169"	"Epstein-Barr virus infection"	"3/18"	"231/8935"	0.0104449099625415	0.08473351263286	0.0670854620934924	"15039/12043/16476"	3
"MEG"	"MEG"	"mmu01524"	"Platinum drug resistance"	"2/18"	"80/8935"	0.01103824350754	0.08473351263286	0.0670854620934924	"12043/21973"	2
"MEG"	"MEG"	"mmu05170"	"Human immunodeficiency virus 1 infection"	"3/18"	"240/8935"	0.0115874889070578	0.08473351263286	0.0670854620934924	"15039/12043/16476"	3
"MEG"	"MEG"	"mmu05210"	"Colorectal cancer"	"2/18"	"88/8935"	0.0132451533324427	0.0860801544169853	0.0681516292280226	"12043/16476"	2
"MEG"	"MEG"	"mmu05132"	"Salmonella infection"	"3/18"	"253/8935"	0.013362351813627	0.0860801544169853	0.0681516292280226	"22154/12043/16476"	3
"MEG"	"MEG"	"mmu01522"	"Endocrine resistance"	"2/18"	"93/8935"	0.0147145563105958	0.0860801544169853	0.0681516292280226	"12043/16476"	2
"MEG"	"MEG"	"mmu05222"	"Small cell lung cancer"	"2/18"	"93/8935"	0.0147145563105958	0.0860801544169853	0.0681516292280226	"66197/12043"	2
"MEG"	"MEG"	"mmu04933"	"AGE-RAGE signaling pathway in diabetic complications"	"2/18"	"101/8935"	0.0172057602611151	0.0958606643119267	0.0758950828560463	"12043/16476"	2
"MEP"	"MEP"	"mmu00190"	"Oxidative phosphorylation"	"8/42"	"135/8935"	1.68949466312052e-07	2.77077124751766e-05	2.27637175662555e-05	"12867/22272/12864/67530/110323/27425/12868/57423"	8
"MEP"	"MEP"	"mmu03010"	"Ribosome"	"8/42"	"179/8935"	1.46370722943672e-06	8.95076001316228e-05	7.3536410891192e-05	"20115/54127/75617/66483/57808/22121/100503670/67945"	8
"MEP"	"MEP"	"mmu05171"	"Coronavirus disease - COVID-19"	"9/42"	"247/8935"	1.6373341487492e-06	8.95076001316228e-05	7.3536410891192e-05	"20115/54127/75617/66483/57808/22121/100503670/16476/67945"	9
"MEP"	"MEP"	"mmu04260"	"Cardiac muscle contraction"	"6/42"	"87/8935"	2.83585531740336e-06	0.000116270068013538	9.55235475335869e-05	"12867/22272/12864/67530/110323/12868"	6
"MEP"	"MEP"	"mmu04932"	"Non-alcoholic fatty liver disease"	"7/42"	"156/8935"	6.98070494443601e-06	0.000199360742793137	0.000163788030022603	"12867/22272/12864/67530/110323/16476/12868"	7
"MEP"	"MEP"	"mmu05208"	"Chemical carcinogenesis - reactive oxygen species"	"8/42"	"222/8935"	7.29368571194402e-06	0.000199360742793137	0.000163788030022603	"12867/22272/12864/67530/110323/110157/16476/12868"	8
"MEP"	"MEP"	"mmu04714"	"Thermogenesis"	"8/42"	"231/8935"	9.76757498574091e-06	0.000228840328237358	0.000188007458372156	"12867/22272/12864/67530/110323/27425/12868/57423"	8
"MEP"	"MEP"	"mmu05415"	"Diabetic cardiomyopathy"	"6/42"	"211/8935"	0.000416535922999192	0.00853898642148343	0.00701534186103902	"12867/22272/12864/67530/110323/12868"	6
"MEP"	"MEP"	"mmu05166"	"Human T-cell leukemia virus 1 infection"	"6/42"	"250/8935"	0.00101771257598102	0.0185449847178764	0.0152359309620551	"52717/12257/15015/15018/110557/16476"	6
"MEP"	"MEP"	"mmu05012"	"Parkinson disease"	"6/42"	"264/8935"	0.00134857202979747	0.0217192414716071	0.017843792736622	"12867/22272/12864/67530/110323/12868"	6
"MEP"	"MEP"	"mmu05020"	"Prion disease"	"6/42"	"268/8935"	0.00145677839138828	0.0217192414716071	0.017843792736622	"12867/22272/12864/67530/110323/12868"	6
"MEP"	"MEP"	"mmu05010"	"Alzheimer disease"	"7/42"	"383/8935"	0.00185188871428623	0.0253091457619117	0.0207931364411085	"12867/22272/12864/67530/110323/110157/12868"	7
"MEP"	"MEP"	"mmu05016"	"Huntington disease"	"6/42"	"302/8935"	0.0026672276647347	0.0336481028474223	0.0276441409786268	"12867/22272/12864/67530/110323/12868"	6
"MEP"	"MEP"	"mmu05330"	"Allograft rejection"	"3/42"	"63/8935"	0.0031530657733211	0.0344735191216441	0.0283222750164983	"15015/15018/110557"	3
"MEP"	"MEP"	"mmu05332"	"Graft-versus-host disease"	"3/42"	"63/8935"	0.0031530657733211	0.0344735191216441	0.0283222750164983	"15015/15018/110557"	3
"MEP"	"MEP"	"mmu05167"	"Kaposi sarcoma-associated herpesvirus infection"	"5/42"	"224/8935"	0.00378370152157205	0.0387829405961135	0.0318627496553436	"15015/15018/110557/110157/16476"	5
"MEP"	"MEP"	"mmu04940"	"Type I diabetes mellitus"	"3/42"	"70/8935"	0.0042485578980508	0.0409860879576666	0.0336727808638082	"15015/15018/110557"	3
"MEP"	"MEP"	"mmu05170"	"Human immunodeficiency virus 1 infection"	"5/42"	"240/8935"	0.00507098600043315	0.0462023168928353	0.03795825778102	"15015/15018/110557/110157/16476"	5
"MEP"	"MEP"	"mmu05022"	"Pathways of neurodegeneration - multiple diseases"	"7/42"	"471/8935"	0.00585680266600281	0.0488783898347444	0.0401568286190455	"12867/22272/12864/67530/110323/110157/12868"	7
"MEP"	"MEP"	"mmu05320"	"Autoimmune thyroid disease"	"3/42"	"79/8935"	0.00596077924813956	0.0488783898347444	0.0401568286190455	"15015/15018/110557"	3
"MEP"	"MEP"	"mmu05014"	"Amyotrophic lateral sclerosis"	"6/42"	"369/8935"	0.00709515852668401	0.0554098094464846	0.0455228216248398	"12867/22272/12864/67530/110323/12868"	6
"MEP"	"MEP"	"mmu05416"	"Viral myocarditis"	"3/42"	"88/8935"	0.00803365600169573	0.059719144743059	0.0490632254628469	"15015/15018/110557"	3
"MEP"	"MEP"	"mmu04612"	"Antigen processing and presentation"	"3/42"	"90/8935"	0.00854502058895686	0.059719144743059	0.0490632254628469	"15015/15018/110557"	3
"MEP"	"MEP"	"mmu04514"	"Cell adhesion molecules"	"4/42"	"174/8935"	0.0087393870355696	0.059719144743059	0.0490632254628469	"15015/15018/20737/110557"	4
"MEP"	"MEP"	"mmu00640"	"Propanoate metabolism"	"2/42"	"31/8935"	0.009201260984646	0.0603602720592777	0.0495899539383026	"60525/16832"	2
"MEP"	"MEP"	"mmu04218"	"Cellular senescence"	"4/42"	"184/8935"	0.0105860924253935	0.0667738137601744	0.0548591024473833	"15015/15018/110557/110157"	4
"CFUe"	"CFUe"	"mmu00190"	"Oxidative phosphorylation"	"8/23"	"135/8935"	8.93486842989552e-10	5.53961842653522e-08	3.19774238543629e-08	"12867/22272/11958/27425/12859/12868/66152/66594"	8
"CFUe"	"CFUe"	"mmu04714"	"Thermogenesis"	"8/23"	"231/8935"	6.20394315956874e-08	1.30777407943413e-06	7.54912032270974e-07	"12867/22272/11958/27425/12859/12868/66152/66594"	8
"CFUe"	"CFUe"	"mmu04260"	"Cardiac muscle contraction"	"6/23"	"87/8935"	6.3279390940361e-08	1.30777407943413e-06	7.54912032270974e-07	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu04932"	"Non-alcoholic fatty liver disease"	"6/23"	"156/8935"	2.03162597781126e-06	3.14902026560746e-05	1.81777061172587e-05	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu05415"	"Diabetic cardiomyopathy"	"6/23"	"211/8935"	1.16534786122272e-05	0.000144503134791617	8.34143732243631e-05	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu05208"	"Chemical carcinogenesis - reactive oxygen species"	"6/23"	"222/8935"	1.55786320060608e-05	0.000160979197395962	9.29251733694857e-05	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu05012"	"Parkinson disease"	"6/23"	"264/8935"	4.15472220242843e-05	0.000350363576041159	0.000202247225558564	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu05020"	"Prion disease"	"6/23"	"268/8935"	4.52082033601496e-05	0.000350363576041159	0.000202247225558564	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu05016"	"Huntington disease"	"6/23"	"302/8935"	8.80411621696483e-05	0.000606505783835355	0.00035010520628866	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu05014"	"Amyotrophic lateral sclerosis"	"6/23"	"369/8935"	0.000264402491885662	0.00163929544969111	0.00094628260253816	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu05010"	"Alzheimer disease"	"6/23"	"383/8935"	0.000323440073293944	0.00182302586765678	0.00105234090832479	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu05330"	"Allograft rejection"	"3/23"	"63/8935"	0.000535028706805091	0.00255167537091659	0.00147295352480754	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu05332"	"Graft-versus-host disease"	"3/23"	"63/8935"	0.000535028706805091	0.00255167537091659	0.00147295352480754	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu04940"	"Type I diabetes mellitus"	"3/23"	"70/8935"	0.000728902554006684	0.00322799702488674	0.00186335991249829	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu05022"	"Pathways of neurodegeneration - multiple diseases"	"6/23"	"471/8935"	0.000972512092759488	0.00397202081445946	0.00229284732922957	"12867/22272/12859/12868/66152/66594"	6
"CFUe"	"CFUe"	"mmu05320"	"Autoimmune thyroid disease"	"3/23"	"79/8935"	0.00103721342846939	0.00397202081445946	0.00229284732922957	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu04145"	"Phagosome"	"4/23"	"182/8935"	0.00108910248138405	0.00397202081445946	0.00229284732922957	"20335/15018/14972/110557"	4
"CFUe"	"CFUe"	"mmu05416"	"Viral myocarditis"	"3/23"	"88/8935"	0.00141775129430834	0.00488336556928429	0.00281892070213354	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu04612"	"Antigen processing and presentation"	"3/23"	"90/8935"	0.00151271878689662	0.00493624025197843	0.00284944259027617	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu05166"	"Human T-cell leukemia virus 1 infection"	"4/23"	"250/8935"	0.0034832988349849	0.0107982263884532	0.00623327159944665	"15018/14972/110557/110196"	4
"CFUe"	"CFUe"	"mmu04514"	"Cell adhesion molecules"	"3/23"	"174/8935"	0.00965317176525953	0.0284998404498139	0.0164515208029486	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu04218"	"Cellular senescence"	"3/23"	"184/8935"	0.0112363387847288	0.0316660456660538	0.0182792114201329	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu05167"	"Kaposi sarcoma-associated herpesvirus infection"	"3/23"	"224/8935"	0.0190182776793016	0.0511468263267237	0.029524483787922	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu05203"	"Viral carcinogenesis"	"3/23"	"229/8935"	0.0201575318241614	0.0511468263267237	0.029524483787922	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu05169"	"Epstein-Barr virus infection"	"3/23"	"231/8935"	0.0206237202930337	0.0511468263267237	0.029524483787922	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu05170"	"Human immunodeficiency virus 1 infection"	"3/23"	"240/8935"	0.0227959003830351	0.0543594547595452	0.0313789721871738	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu05163"	"Human cytomegalovirus infection"	"3/23"	"256/8935"	0.0269586196744802	0.0619049785117695	0.0357346225704612	"15018/14972/110557"	3
"CFUe"	"CFUe"	"mmu04144"	"Endocytosis"	"3/23"	"273/8935"	0.0318040514814765	0.0704232568518408	0.0406517951266993	"15018/14972/110557"	3
