#plotCorrelation --outFileCorMatrix
	'NFIX_r1'	'NFIX_r2'	'P52'	'H3K27me3'	'H3K36me3'	'FLI1'	'SCL'	'RUNX1'	'GATA2_r1'	'LYL1'	'LMO2'	'GATA2'	'E2A'	'LDB1'	'STAT1P'	'ETO2'	'STAT3'	'cMyc'	'PU.1'	'H2AacK5'	'GLI1b'	'MEIS1'	'MYB'	'MAX'	'Cebpb'	'EGR1'	'ELF1'	'H3K4me3'	'H3K27ac'	'H3acK9'	'RAD21'	'CTCF'	'NFE2'	'E2F4'	'cFos'	'JUN'
'ELF1'	-0.1322	-0.1405	0.1539	0.0438	0.0232	0.3767	0.2374	0.2580	0.2220	0.2245	0.2113	0.2494	0.2866	0.3296	0.4413	0.4464	0.3403	0.4298	0.2701	0.2819	0.2735	0.2832	0.3630	0.4872	0.3574	0.4079	1.0000	0.2298	0.2512	0.1998	0.1881	0.0941	0.2691	0.3474	0.3178	0.3108
'H3K4me3'	-0.1739	-0.1602	-0.1870	-0.0311	-0.0461	-0.0029	0.0973	-0.0003	-0.0449	-0.0857	-0.0407	0.0274	0.0787	0.0691	0.3235	0.4240	0.7222	0.5316	0.1978	0.1567	0.2009	0.0681	0.0551	0.3457	0.2402	0.2950	0.2298	1.0000	0.8665	0.8224	0.2252	0.1749	-0.0015	0.3856	0.2626	0.2609
'H3K27ac'	-0.1990	-0.1847	-0.1779	-0.0681	0.0132	0.0861	0.1667	0.0825	0.0246	-0.0188	0.0272	0.0922	0.1848	0.1633	0.4348	0.5726	0.7815	0.5693	0.2603	0.3709	0.2187	0.1341	0.1320	0.3882	0.2733	0.3185	0.2512	0.8665	1.0000	0.7715	0.2541	0.1723	0.0242	0.3693	0.2536	0.2539
'H3acK9'	-0.2126	-0.2016	-0.2250	-0.0035	0.0182	0.0684	0.1744	0.0790	0.0412	-0.0180	0.0161	0.0731	0.1474	0.1269	0.3914	0.4588	0.6975	0.4830	0.3102	0.2854	0.2982	0.1641	0.0691	0.3214	0.2273	0.2898	0.1998	0.8224	0.7715	1.0000	0.2513	0.1946	0.0007	0.2877	0.2052	0.1852
'RAD21'	-0.1348	-0.1456	-0.0443	0.0753	0.0257	0.1266	0.1433	0.1362	0.1059	0.0784	0.0942	0.1605	0.2050	0.2216	0.3624	0.3071	0.3895	0.2924	0.1686	0.2511	0.2183	0.1777	0.1734	0.2469	0.2314	0.2688	0.1881	0.2252	0.2541	0.2513	1.0000	0.7042	0.0905	0.2790	0.1576	0.1263
'CTCF'	-0.0848	-0.0915	-0.0659	0.0742	0.0465	0.0197	0.0412	0.0299	0.0215	-0.0099	0.0007	0.0476	0.0893	0.0794	0.2536	0.1370	0.3199	0.2191	0.0843	0.0961	0.1127	0.0692	0.0693	0.1542	0.1350	0.1356	0.0941	0.1749	0.1723	0.1946	0.7042	1.0000	0.0352	0.1645	0.0830	0.0743
'NFE2'	-0.0474	-0.0598	0.1535	0.1040	0.0193	0.1684	0.1397	0.1649	0.1453	0.1626	0.1385	0.1878	0.1824	0.2446	0.2180	0.1996	0.1024	0.1828	0.0691	0.1376	0.1454	0.1786	0.2289	0.2394	0.1808	0.2562	0.2691	-0.0015	0.0242	0.0007	0.0905	0.0352	1.0000	0.1286	0.2202	0.1896
'E2F4'	-0.1199	-0.1287	0.0193	0.0534	0.0126	0.1183	0.1437	0.1130	0.0976	0.0702	0.0778	0.1573	0.1733	0.1985	0.3383	0.3660	0.3952	0.3825	0.1552	0.2024	0.2084	0.1430	0.2344	0.3410	0.2513	0.2970	0.3474	0.3856	0.3693	0.2877	0.2790	0.1645	0.1286	1.0000	0.2417	0.2327
'cFos'	-0.0506	-0.0511	0.1464	-0.0318	-0.0452	0.2111	0.1890	0.1948	0.1274	0.1594	0.1479	0.1458	0.1926	0.2721	0.2561	0.3428	0.3062	0.3560	0.1325	0.1622	0.2273	0.2297	0.2282	0.4318	0.3493	0.3349	0.3178	0.2626	0.2536	0.2052	0.1576	0.0830	0.2202	0.2417	1.0000	0.3448
'JUN'	-0.0153	-0.0224	0.2208	0.0851	0.0136	0.1334	0.1295	0.1333	0.0997	0.1129	0.0983	0.1365	0.1526	0.2269	0.2502	0.2300	0.3042	0.3398	0.0958	0.0804	0.1329	0.1314	0.2678	0.3550	0.3330	0.2908	0.3108	0.2609	0.2539	0.1852	0.1263	0.0743	0.1896	0.2327	0.3448	1.0000
