#plotCorrelation --outFileCorMatrix
	'H3K27me3'	'H3acK9'	'H3K27ac'	'H3K4me3'	'CTCF'	'H3K36me3'	'RUNX1'	'FLI1'	'LMO2'	'NFIX_r1'	'NFIX_r2'	'ETO2'	'H2AacK5'	'RAD21'	'PU.1'	'STAT3'	'MEIS1'	'GATA2_r1'	'GLI1b'	'GATA2'	'STAT1P'	'E2A'	'E2F4'	'EGR1'	'ELF1'	'LDB1'	'cMyc'	'MYB'	'NFE2'	'LYL1'	'SCL'	'MAX'	'Cebpb'	'cFos'	'JUN'	'P52'
'NFIX_r2'	0.1899	0.4932	0.4121	0.3229	0.3273	0.3719	0.5332	0.5395	0.5111	0.8888	1.0000	0.6081	0.5921	0.5119	0.5239	0.5669	0.5455	0.5433	0.6422	0.5114	0.5922	0.5988	0.5836	0.6001	0.5517	0.6289	0.5677	0.4861	0.4634	0.4954	0.5361	0.5307	0.5771	0.3869	0.4137	0.3817
'ETO2'	0.1709	0.5954	0.6226	0.4439	0.3406	0.2711	0.6422	0.6929	0.6287	0.6288	0.6081	1.0000	0.7960	0.5744	0.6267	0.6923	0.6486	0.5893	0.6857	0.5751	0.6673	0.7506	0.6198	0.6188	0.5726	0.6812	0.5918	0.4853	0.4541	0.5259	0.6004	0.5677	0.5709	0.3669	0.3629	0.3182
'H2AacK5'	0.0894	0.5319	0.5248	0.2904	0.3550	0.2830	0.5905	0.6552	0.5700	0.6085	0.5921	0.7960	1.0000	0.5807	0.6216	0.6439	0.6125	0.5380	0.6317	0.5281	0.6581	0.7359	0.4767	0.5034	0.4277	0.5820	0.4194	0.3299	0.3272	0.4415	0.4479	0.3997	0.4590	0.1760	0.1722	0.1409
'RAD21'	0.3803	0.5421	0.4005	0.3085	0.7303	0.2827	0.3919	0.4313	0.4057	0.5310	0.5119	0.5744	0.5807	1.0000	0.5502	0.7003	0.5380	0.5456	0.5917	0.6528	0.7111	0.6766	0.5778	0.5529	0.5272	0.5147	0.4836	0.4616	0.4588	0.3778	0.4689	0.3519	0.3654	0.1956	0.2734	0.2101
'PU.1'	0.2555	0.6543	0.5092	0.3910	0.3735	0.2806	0.4650	0.5481	0.4658	0.5358	0.5239	0.6267	0.6216	0.5502	1.0000	0.6886	0.5895	0.5634	0.6190	0.5773	0.6664	0.6705	0.5075	0.4946	0.4821	0.4729	0.4291	0.3660	0.3863	0.4066	0.4908	0.3342	0.3401	0.1512	0.1985	0.1413
'STAT3'	0.3894	0.7831	0.6826	0.5965	0.5366	0.4017	0.3890	0.4330	0.3956	0.5778	0.5669	0.6923	0.6439	0.7003	0.6886	1.0000	0.5837	0.5668	0.6333	0.7301	0.8593	0.8085	0.6174	0.5705	0.5418	0.5139	0.5065	0.4336	0.4498	0.3391	0.4827	0.3226	0.3380	0.1272	0.2226	0.1143
'MEIS1'	0.3222	0.4557	0.3473	0.2303	0.2979	0.2572	0.6461	0.6994	0.6859	0.5794	0.5455	0.6486	0.6125	0.5380	0.5895	0.5837	1.0000	0.7411	0.7476	0.6489	0.6882	0.7061	0.6302	0.6573	0.6521	0.6257	0.5657	0.5438	0.5692	0.6514	0.6783	0.5144	0.4846	0.3327	0.4186	0.3955
'GATA2_r1'	0.4431	0.3841	0.2406	0.1388	0.2799	0.2840	0.6196	0.6669	0.7185	0.5895	0.5433	0.5893	0.5380	0.5456	0.5634	0.5668	0.7411	1.0000	0.7871	0.7753	0.7521	0.7321	0.7038	0.7286	0.7620	0.6399	0.6139	0.6459	0.6933	0.7305	0.7631	0.5161	0.4658	0.3522	0.4925	0.4842
'GLI1b'	0.3439	0.5162	0.3856	0.2970	0.3356	0.3092	0.6793	0.7095	0.7103	0.6807	0.6422	0.6857	0.6317	0.5917	0.6190	0.6333	0.7476	0.7871	1.0000	0.6845	0.7262	0.7255	0.7159	0.7446	0.7278	0.7086	0.6649	0.6241	0.6399	0.7054	0.7531	0.6036	0.5898	0.4271	0.5085	0.4884
'GATA2'	0.6099	0.4596	0.2825	0.1776	0.3853	0.3336	0.4146	0.4679	0.5118	0.5544	0.5114	0.5751	0.5281	0.6528	0.5773	0.7301	0.6489	0.7753	0.6845	1.0000	0.8763	0.8125	0.7226	0.6945	0.7312	0.5847	0.5762	0.6457	0.6797	0.5087	0.6304	0.3603	0.3342	0.2046	0.3823	0.3303
'STAT1P'	0.5090	0.6013	0.4455	0.3168	0.4706	0.4461	0.4702	0.5297	0.5311	0.6249	0.5922	0.6673	0.6581	0.7111	0.6664	0.8593	0.6882	0.7521	0.7262	0.8763	1.0000	0.8840	0.7219	0.7022	0.7104	0.5997	0.5772	0.5879	0.6298	0.5121	0.5998	0.3830	0.3762	0.1813	0.3425	0.2797
'E2A'	0.3808	0.5911	0.4796	0.3065	0.4456	0.4568	0.5812	0.6256	0.6521	0.6223	0.5988	0.7506	0.7359	0.6766	0.6705	0.8085	0.7061	0.7321	0.7255	0.8125	0.8840	1.0000	0.6571	0.6497	0.6316	0.6438	0.5377	0.5234	0.5440	0.5360	0.6221	0.3969	0.4059	0.1838	0.2949	0.2384
'E2F4'	0.4306	0.4435	0.3452	0.3044	0.3185	0.2818	0.5285	0.5521	0.5655	0.6266	0.5836	0.6198	0.4767	0.5778	0.5075	0.6174	0.6302	0.7038	0.7159	0.7226	0.7219	0.6571	1.0000	0.7829	0.8138	0.7324	0.7592	0.7631	0.7276	0.6244	0.7058	0.6580	0.6156	0.5393	0.6374	0.6004
'EGR1'	0.4286	0.3921	0.3015	0.2389	0.2836	0.2725	0.5881	0.6052	0.6228	0.6491	0.6001	0.6188	0.5034	0.5529	0.4946	0.5705	0.6573	0.7286	0.7446	0.6945	0.7022	0.6497	0.7829	1.0000	0.8343	0.7636	0.7711	0.7496	0.7489	0.6817	0.7289	0.7036	0.6648	0.5783	0.6888	0.6720
'ELF1'	0.4858	0.3466	0.2472	0.2010	0.2551	0.2327	0.5463	0.5878	0.6129	0.6042	0.5517	0.5726	0.4277	0.5272	0.4821	0.5418	0.6521	0.7620	0.7278	0.7312	0.7104	0.6316	0.8138	0.8343	1.0000	0.7397	0.7826	0.7981	0.8126	0.7025	0.7613	0.6977	0.6176	0.5864	0.7256	0.7185
'LDB1'	0.2491	0.3708	0.3192	0.2155	0.2626	0.2873	0.6665	0.6553	0.6649	0.6691	0.6289	0.6812	0.5820	0.5147	0.4729	0.5139	0.6257	0.6399	0.7086	0.5847	0.5997	0.6438	0.7324	0.7636	0.7397	1.0000	0.7912	0.7250	0.6414	0.6678	0.7092	0.7732	0.7905	0.6782	0.7148	0.6709
'cMyc'	0.3313	0.3812	0.3338	0.2870	0.2453	0.2315	0.5537	0.5464	0.5531	0.6096	0.5677	0.5918	0.4194	0.4836	0.4291	0.5065	0.5657	0.6139	0.6649	0.5762	0.5772	0.5377	0.7592	0.7711	0.7826	0.7912	1.0000	0.7577	0.6887	0.6282	0.6972	0.7741	0.7377	0.6956	0.7601	0.7169
'MYB'	0.4300	0.2450	0.1552	0.1033	0.2065	0.1940	0.4769	0.4787	0.5221	0.5373	0.4861	0.4853	0.3299	0.4616	0.3660	0.4336	0.5438	0.6459	0.6241	0.6457	0.5879	0.5234	0.7631	0.7496	0.7981	0.7250	0.7577	1.0000	0.7428	0.6183	0.6881	0.6674	0.6205	0.6222	0.7288	0.7123
'NFE2'	0.4878	0.2509	0.1402	0.0957	0.2070	0.1947	0.4544	0.4779	0.5278	0.5166	0.4634	0.4541	0.3272	0.4588	0.3863	0.4498	0.5692	0.6933	0.6399	0.6797	0.6298	0.5440	0.7276	0.7489	0.8126	0.6414	0.6887	0.7428	1.0000	0.6263	0.6844	0.5939	0.5217	0.5128	0.6584	0.6582
'LYL1'	0.2433	0.2314	0.1671	0.0929	0.1423	0.1908	0.6742	0.6967	0.7464	0.5394	0.4954	0.5259	0.4415	0.3778	0.4066	0.3391	0.6514	0.7305	0.7054	0.5087	0.5121	0.5360	0.6244	0.6817	0.7025	0.6678	0.6282	0.6183	0.6263	1.0000	0.7377	0.6456	0.5937	0.5273	0.6070	0.6227
'SCL'	0.3382	0.3710	0.2836	0.2020	0.2180	0.2350	0.6460	0.6627	0.7185	0.5795	0.5361	0.6004	0.4479	0.4689	0.4908	0.4827	0.6783	0.7631	0.7531	0.6304	0.5998	0.6221	0.7058	0.7289	0.7613	0.7092	0.6972	0.6881	0.6844	0.7377	1.0000	0.6455	0.5866	0.5352	0.6206	0.6136
'MAX'	0.1522	0.2716	0.2854	0.2584	0.1418	0.1256	0.6130	0.6008	0.5858	0.5675	0.5307	0.5677	0.3997	0.3519	0.3342	0.3226	0.5144	0.5161	0.6036	0.3603	0.3830	0.3969	0.6580	0.7036	0.6977	0.7732	0.7741	0.6674	0.5939	0.6456	0.6455	1.0000	0.8023	0.7741	0.7763	0.7592
'Cebpb'	0.0879	0.2849	0.2843	0.2414	0.1749	0.2017	0.6156	0.5755	0.5571	0.6121	0.5771	0.5709	0.4590	0.3654	0.3401	0.3380	0.4846	0.4658	0.5898	0.3342	0.3762	0.4059	0.6156	0.6648	0.6176	0.7905	0.7377	0.6205	0.5217	0.5937	0.5866	0.8023	1.0000	0.7566	0.7217	0.6917
'cFos'	0.1095	0.0946	0.1121	0.1233	0.0375	0.0338	0.4619	0.4178	0.4259	0.4219	0.3869	0.3669	0.1760	0.1956	0.1512	0.1272	0.3327	0.3522	0.4271	0.2046	0.1813	0.1838	0.5393	0.5783	0.5864	0.6782	0.6956	0.6222	0.5128	0.5273	0.5352	0.7741	0.7566	1.0000	0.7816	0.7717
'JUN'	0.2907	0.1086	0.0770	0.0751	0.0735	0.1059	0.4657	0.4305	0.4739	0.4619	0.4137	0.3629	0.1722	0.2734	0.1985	0.2226	0.4186	0.4925	0.5085	0.3823	0.3425	0.2949	0.6374	0.6888	0.7256	0.7148	0.7601	0.7288	0.6584	0.6070	0.6206	0.7763	0.7217	0.7816	1.0000	0.8434
'P52'	0.2556	0.0130	-0.0038	-0.0096	0.0098	0.0597	0.4660	0.4348	0.4849	0.4333	0.3817	0.3182	0.1409	0.2101	0.1413	0.1143	0.3955	0.4842	0.4884	0.3303	0.2797	0.2384	0.6004	0.6720	0.7185	0.6709	0.7169	0.7123	0.6582	0.6227	0.6136	0.7592	0.6917	0.7717	0.8434	1.0000
