Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
protein binding%GOmf%GO:0005515,0.3740013688432766,2.3498376783784525,0.0,0.0,9602,72,Trim12a;Iigp1;H2-Q7;Jund;Prtn3;Cd74;Stat1;Apobec3;Hmgcr;Wdfy1;Hipk1;H2-Q6;Shisa5;Ltb;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Psmb8;Rabac1;Osbpl8;Lmo2;Apoe;Trim56;Tsc22d1;Pcnt;Akap13;Trim34a;Nfe2;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Sptan1;Akirin2;Usp8;Plppr3;Cbfa2t3;Nfkb1;Ldlr;Uvssa;Camk2d;H2-T23;Dtx3l;0610009B22Rik;Gon4l;Ddb1;Rab6b;H2-T22;Tpst2;Aplp2;Mcl1;Myb;Smarca2;Eps8;Atpif1;Hnrnpd;Sem1;Cks2;Rpl39;Hint1;Lgals1;Cbx3;S100a11;Nop10;Alad;Pdcd4;Arhgdib,Trim12a;Iigp1;H2-Q7;Jund;Prtn3;Cd74;Stat1;Apobec3;Hmgcr;Wdfy1;Hipk1;H2-Q6;Shisa5;Ltb;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Psmb8;Rabac1;Osbpl8;Lmo2;Apoe;Trim56;Tsc22d1;Pcnt;Akap13;Trim34a;Nfe2;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Sptan1;Akirin2;Usp8;Plppr3;Cbfa2t3;Nfkb1;Ldlr;Uvssa;Camk2d;H2-T23;Dtx3l;0610009B22Rik;Gon4l;Ddb1;Rab6b;H2-T22;Tpst2;Aplp2;Mcl1;Myb;Smarca2
regulation of cellular process%GObp%GO:0050794,0.4035820843360861,2.546144796363799,0.0,0.0,12039,84,Trim12a;Iigp1;H2-Q7;Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Wdfy1;Mpl;Tspan32;Hipk1;H2-Q6;Shisa5;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Hlf;Tsc22d1;Cyp51;Pcnt;Akap13;Trim34a;Nfe2;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Sptan1;Akirin2;Usp8;Slc35c2;Plppr3;Cbfa2t3;Madd;Nfkb1;Ldlr;Fdps;Camk2d;H2-T23;Dtx3l;Gon4l;Ddb1;H2-T22;Aplp2;Mcl1;Myb;Smarca2;Eif3d;Eps8;Atpif1;Rps29;Rpl38;Rps15a;Hnrnpd;Crip1;Rplp1;Cks2;Rps26;Ndufa13;Cox7a2;Hint1;Lgals1;Cbx3;S100a11;Rbm3;Alad;Pdcd4;Arhgdib,Trim12a;Iigp1;H2-Q7;Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Wdfy1;Mpl;Tspan32;Hipk1;H2-Q6;Shisa5;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Hlf;Tsc22d1;Cyp51;Pcnt;Akap13;Trim34a;Nfe2;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Sptan1;Akirin2;Usp8
negative regulation of biological process%GObp%GO:0048519,0.3394213386715844,2.5187640882893874,0.0,0.0,5632,55,Trim12a;Jund;Prtn3;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Mpl;Tspan32;Hipk1;Ndrg1;H2-Ab1;Ifi27;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Tsc22d1;Cyp51;Pcnt;Nfe2;Gpr171;Ptprc;Rap1b;Rgs1;H2-K1;Foxp1;Sptan1;Akirin2;Slc35c2;Cbfa2t3;Madd;Nfkb1;Ldlr;Camk2d;Dtx3l;Gon4l;Ddb1;Tpst2;Mcl1;Myb;Smarca2;Eps8;Atpif1;Hnrnpd;Rps26;Lgals1;Cbx3;Rbm3;Alad;Pdcd4;Arhgdib,Trim12a;Jund;Prtn3;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Mpl;Tspan32;Hipk1;Ndrg1;H2-Ab1;Ifi27;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Tsc22d1;Cyp51;Pcnt;Nfe2;Gpr171;Ptprc;Rap1b;Rgs1;H2-K1;Foxp1;Sptan1;Akirin2
biological process involved in interspecies interaction between organisms%GObp%GO:0044419,0.4767446780235743,2.3273752222104878,0.0,0.0,1713,25,Trim12a;Iigp1;H2-Q7;Cd74;Stat1;Apobec3;Tspan32;H2-Eb1;H2-Ab1;Ifi27;Apoe;Trim56;Trim34a;Ptprc;Rgs1;H2-K1;Foxp1;Pabpn1;Akirin2;Nfkb1;Dtx3l;Ddb1;Rps15a;Rpl39;Pdcd4,Trim12a;Iigp1;H2-Q7;Cd74;Stat1;Apobec3;Tspan32;H2-Eb1;H2-Ab1;Ifi27;Apoe;Trim56;Trim34a;Ptprc;Rgs1;H2-K1;Foxp1;Pabpn1;Akirin2
biological regulation%GObp%GO:0065007,0.4187259777735447,2.6853963873408584,0.0,0.0,13279,89,Trim12a;Iigp1;H2-Q7;Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Wdfy1;Mpl;Tspan32;Hipk1;H2-Q6;Shisa5;Ltb;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Psmb8;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Hlf;Tsc22d1;Cyp51;Pcnt;Akap13;Trim34a;Nfe2;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Sptan1;Akirin2;Usp8;Slc35c2;Sugt1;Plppr3;Cbfa2t3;Madd;Nfkb1;Ldlr;Fdps;Camk2d;H2-T23;Dtx3l;Gon4l;Ddb1;H2-T22;Tpst2;Aplp2;Mcl1;Myb;Smarca2;Eif3d;Eps8;Atpif1;Rps29;Rpl38;Rps15a;Hnrnpd;Crip1;Rplp1;Rps17;Cks2;Rps26;Ndufa13;Cox7a2;Hint1;Lgals1;Cbx3;S100a11;Rbm3;Alad;Pdcd4;Arhgdib,Trim12a;Iigp1;H2-Q7;Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Wdfy1;Mpl;Tspan32;Hipk1;H2-Q6;Shisa5;Ltb;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Psmb8;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Hlf;Tsc22d1;Cyp51;Pcnt;Akap13;Trim34a;Nfe2;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Sptan1;Akirin2;Usp8;Slc35c2;Sugt1;Plppr3;Cbfa2t3;Madd;Nfkb1;Ldlr
peptide biosynthetic process%GObp%GO:0043043,-0.5311077257260098,-2.3939772455708805,0.0,0.0,379,17,Etf1;Eif4b;Lars2;Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1,Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1
cell periphery%GOcc%GO:0071944,0.44579743765165575,2.4022190827638994,0.0,0.0,6031,37,H2-Q7;Prtn3;Tgm2;Cd74;Mpl;Tspan32;H2-Q6;Ltb;H2-Eb1;Ndrg1;Slc2a3;H2-Ab1;Rabac1;Osbpl8;Apoe;Akap13;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Chic2;Rgs1;H2-K1;Sptan1;Usp8;Plppr3;Madd;Ldlr;Camk2d;H2-T23;H2-T22;Aplp2;Eps8;Hint1;Lgals1;S100a11,H2-Q7;Prtn3;Tgm2;Cd74;Mpl;Tspan32;H2-Q6;Ltb;H2-Eb1;Ndrg1;Slc2a3;H2-Ab1;Rabac1;Osbpl8;Apoe;Akap13;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Chic2;Rgs1;H2-K1;Sptan1;Usp8;Plppr3;Madd;Ldlr;Camk2d;H2-T23
cellular amide metabolic process%GObp%GO:0043603,-0.4833411039085629,-2.2787042741169268,0.0,0.0,767,18,Etf1;Eif4b;Cers4;Lars2;Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1,Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1
biological_process%GOmf%GO:0008150,0.3626826255006402,2.3713265723346724,0.0,0.0,9778,58,Trim12a;Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Ctla2a;Mpl;Hipk1;Ltb;Slc2a3;Psmb8;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Hlf;Tsc22d1;Cyp51;Akap13;Eif4b;Trim34a;Nfe2;Gpr171;Ptprc;Tnfsf10;Rgs1;Foxp1;Akirin2;Usp8;Slc35c2;Lars2;Plppr3;Cbfa2t3;Madd;Nfkb1;Ldlr;Trim47;Camk2d;Dtx3l;Gon4l;Aplp2;Myb;Smarca2;Eif3d;Cox8a;Rplp1;Cks2;Ndufa13;Atp5j2;Cox7a2;Hint1;Cox7b;Cox6c;Atp5e;Arhgdib,Trim12a;Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Ctla2a;Mpl;Hipk1;Ltb;Slc2a3;Psmb8;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Hlf;Tsc22d1;Cyp51;Akap13;Eif4b;Trim34a;Nfe2;Gpr171;Ptprc;Tnfsf10;Rgs1;Foxp1;Akirin2;Usp8;Slc35c2;Lars2;Plppr3;Cbfa2t3;Madd;Nfkb1;Ldlr;Trim47
endomembrane system%GOcc%GO:0012505,0.44062257279988215,2.4023633372380173,0.0,0.0,4128,46,Trim12a;Gdpd3;Iigp1;H2-Q7;Prtn3;Cd74;Gcnt2;Hmgcr;Wdfy1;Mpl;H2-Q6;Shisa5;H2-Eb1;Ndrg1;Slc2a3;H2-Ab1;Ifi27;Rabac1;Osbpl8;Apoe;Cyp51;Pcnt;Cers4;H2-Q4;Chic2;H2-K1;Usp8;Slc35c2;Pgap2;Cbfa2t3;Madd;Ldlr;Camk2d;H2-T23;Dtx3l;0610009B22Rik;Sypl;Rab6b;H2-T22;Tpst2;Rps29;Rps26;Ost4;Atp5j2;Cbx3;Rpl41,Trim12a;Gdpd3;Iigp1;H2-Q7;Prtn3;Cd74;Gcnt2;Hmgcr;Wdfy1;Mpl;H2-Q6;Shisa5;H2-Eb1;Ndrg1;Slc2a3;H2-Ab1;Ifi27;Rabac1;Osbpl8;Apoe;Cyp51;Pcnt;Cers4;H2-Q4;Chic2;H2-K1;Usp8;Slc35c2;Pgap2;Cbfa2t3;Madd;Ldlr;Camk2d;H2-T23;Dtx3l;0610009B22Rik;Sypl;Rab6b;H2-T22;Tpst2
endosome%GOcc%GO:0005768,0.47499999999999903,2.3971915127095276,0.0,0.0,966,15,H2-Q7;Cd74;Wdfy1;H2-Q6;H2-Eb1;Ndrg1;H2-Ab1;Apoe;H2-Q4;H2-K1;Usp8;Ldlr;H2-T23;Dtx3l;H2-T22,H2-Q7;Cd74;Wdfy1;H2-Q6;H2-Eb1;Ndrg1;H2-Ab1;Apoe;H2-Q4;H2-K1;Usp8;Ldlr;H2-T23;Dtx3l;H2-T22
mitochondrion%GOcc%GO:0005739,-0.3736191247723213,-2.1067532345636533,0.0,0.0,1923,21,Idi1;Tgm2;Ifi27;Lars2;Nfkb1;Fdps;Sp140;Mcl1;Atpif1;Rps15a;Cox5b;Cox8a;Rpl34;Rpl35a;Ndufa13;Atp5j2;Cox7a2;Cox7b;Cox6c;Atp5e;Echdc2,Sp140;Mcl1;Atpif1;Rps15a;Cox5b;Cox8a;Rpl34;Rpl35a;Ndufa13;Atp5j2;Cox7a2;Cox7b;Cox6c;Atp5e;Echdc2
defense response to other organism%GObp%GO:0098542,0.5760444199454544,2.3240593110012666,0.0,0.0,1069,17,Trim12a;Iigp1;H2-Q7;Cd74;Stat1;Apobec3;Tspan32;H2-Eb1;H2-Ab1;Ifi27;Trim56;Trim34a;Ptprc;H2-K1;Akirin2;Dtx3l;Rpl39,Trim12a;Iigp1;H2-Q7;Cd74;Stat1;Apobec3;Tspan32;H2-Eb1;H2-Ab1;Ifi27;Trim56;Trim34a;Ptprc;H2-K1;Akirin2
peptide metabolic process%GObp%GO:0006518,-0.5311077257260098,-2.036681579468538,0.0,0.005300904271905207,524,17,Etf1;Eif4b;Lars2;Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1,Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1
cellular nitrogen compound biosynthetic process%GObp%GO:0044271,-0.4576832542068585,-2.0367184987831513,0.0,0.005963517305893358,1161,27,Jund;Stat1;Etf1;Eif4b;Cers4;Lars2;Cbfa2t3;Eif3d;Atpif1;Rps29;Rpl38;Hnrnpd;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Atp5j2;Nop10;Atp5e;Rpl41;Rbm3;Alad;Rpl22l1,Eif3d;Atpif1;Rps29;Rpl38;Hnrnpd;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Atp5j2;Nop10;Atp5e;Rpl41;Rbm3;Alad;Rpl22l1
signaling%GObp%GO:0023052,0.3484270374099226,1.958774504269015,0.0,0.006217780950114997,5459,32,Iigp1;Tgm2;Cd74;Stat1;Gcnt2;Mpl;Tspan32;Hipk1;Shisa5;Ndrg1;Ifi27;Apoe;Pcnt;Akap13;Nfe2;Gpr171;Ptprc;Rap1b;Rgs1;Pabpn1;Usp8;Plppr3;Nfkb1;Dtx3l;Ddb1;Mcl1;Eps8;Crip1;Ndufa13;Hint1;Pdcd4;Arhgdib,Iigp1;Tgm2;Cd74;Stat1;Gcnt2;Mpl;Tspan32;Hipk1;Shisa5;Ndrg1;Ifi27;Apoe;Pcnt;Akap13;Nfe2;Gpr171;Ptprc;Rap1b;Rgs1;Pabpn1;Usp8
cytoplasmic vesicle%GOcc%GO:0031410,0.5089285714285706,1.9609558153048694,0.0,0.006359094153526702,2067,23,H2-Q7;Prtn3;Cd74;Wdfy1;H2-Q6;H2-Eb1;Ndrg1;Slc2a3;H2-Ab1;Rabac1;Apoe;Cyp51;H2-Q4;Chic2;H2-K1;Usp8;Madd;Ldlr;H2-T23;Dtx3l;Sypl;Rab6b;H2-T22,H2-Q7;Prtn3;Cd74;Wdfy1;H2-Q6;H2-Eb1;Ndrg1;Slc2a3;H2-Ab1;Rabac1;Apoe;Cyp51;H2-Q4;Chic2;H2-K1;Usp8;Madd;Ldlr;H2-T23;Dtx3l;Sypl;Rab6b;H2-T22
response to external biotic stimulus%GObp%GO:0043207,0.49025887470581436,1.9697380992936417,0.0,0.006506980064073835,1577,23,Trim12a;Iigp1;H2-Q7;Cd74;Stat1;Apobec3;Tspan32;H2-Eb1;H2-Ab1;Ifi27;Trim56;Trim34a;Ptprc;Rgs1;H2-K1;Foxp1;Pabpn1;Akirin2;Nfkb1;Dtx3l;Rps15a;Rpl39;Pdcd4,Trim12a;Iigp1;H2-Q7;Cd74;Stat1;Apobec3;Tspan32;H2-Eb1;H2-Ab1;Ifi27;Trim56;Trim34a;Ptprc;Rgs1;H2-K1;Foxp1;Pabpn1;Akirin2
response to organic substance%GObp%GO:0010033,0.3915530052428643,1.9850598249819864,0.16666666666666666,0.006661908160837497,2977,26,Iigp1;H2-Q7;Idi1;Tgm2;Cd74;Stat1;Gcnt2;Mpl;H2-Eb1;H2-Ab1;Ifi27;Lmo2;Trim56;Rap1b;Foxp1;Pabpn1;Akirin2;Usp8;Nfkb1;Ldlr;Mcl1;Myb;Eps8;Hnrnpd;Alad;Pdcd4,Iigp1;H2-Q7;Idi1;Tgm2;Cd74;Stat1;Gcnt2;Mpl;H2-Eb1;H2-Ab1;Ifi27;Lmo2;Trim56;Rap1b;Foxp1;Pabpn1;Akirin2;Usp8
regulation of biosynthetic process%GOmf%GO:0009889,0.4102564102564093,1.9855724093948033,0.0,0.006824393725735972,1969,18,Trim12a;Jund;Stat1;Hipk1;Etf1;Lmo2;Hlf;Tsc22d1;Eif4b;Nfe2;Foxp1;Akirin2;Cbfa2t3;Nfkb1;Gon4l;Myb;Smarca2;Eif3d,Trim12a;Jund;Stat1;Hipk1;Etf1;Lmo2;Hlf;Tsc22d1;Eif4b;Nfe2;Foxp1;Akirin2;Cbfa2t3;Nfkb1;Gon4l;Myb;Smarca2;Eif3d
cell differentiation%GObp%GO:0030154,0.3975959745552742,1.986777255388901,0.0,0.006995003568879372,3818,30,Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Mpl;Hipk1;Ndrg1;H2-Ab1;Psmb8;Osbpl8;Apoe;Hlf;Pcnt;Akap13;Ptprc;Rap1b;Foxp1;Cbfa2t3;Ldlr;Camk2d;Gon4l;Aplp2;Mcl1;Myb;Smarca2;Atpif1;Lgals1;Pdcd4,Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Mpl;Hipk1;Ndrg1;H2-Ab1;Psmb8;Osbpl8;Apoe;Hlf;Pcnt;Akap13;Ptprc;Rap1b
Golgi apparatus%GOcc%GO:0005794,0.49122807017543757,1.9876324317809835,0.0,0.007174362634748074,1539,21,Iigp1;H2-Q7;Cd74;Gcnt2;Mpl;H2-Q6;H2-Ab1;Rabac1;Apoe;Pcnt;H2-Q4;Chic2;H2-K1;Slc35c2;Pgap2;Cbfa2t3;Ldlr;H2-T23;Rab6b;H2-T22;Tpst2,Iigp1;H2-Q7;Cd74;Gcnt2;Mpl;H2-Q6;H2-Ab1;Rabac1;Apoe;Pcnt;H2-Q4;Chic2;H2-K1;Slc35c2;Pgap2;Cbfa2t3;Ldlr;H2-T23;Rab6b;H2-T22;Tpst2
